,week,venue,attendance,referee,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards,,
174,241,Elland Road (Leeds),36173,CooteD.,2,2,False,True,False,2.9,3.35,2.5,8,6,4,,
175,241,St. Mary's Stadium (Southampton),25000,BramallT.,0,1,False,False,True,2.33,3.3,3.25,1,1,4,,
176,241,Old Trafford (Manchester),73322,SalisburyM.,3,0,True,False,False,1.26,6.4,11,10,2,3,,
177,241,Emirates Stadium (London),60319,MadleyA.,0,0,False,True,False,1.75,3.9,4.7,5,5,8,,
178,241,Goodison Park (Liverpool),39103,MarrinerA.,1,4,False,False,True,3.2,3.35,2.35,12,1,4,,
179,241,King Power Stadium (Leicester),30813,BondD.,0,1,False,False,True,2.42,3.65,2.85,8,1,8,,
180,241,City Ground (Nottingham),29229,BankesP.,1,1,False,True,False,5.6,4.1,1.61,7,4,4,,
181,241,Tottenham Hotspur Stadium (London),61651,BrooksJ.,0,2,False,False,True,1.66,4.2,5,6,1,7,,
182,241,Amex Stadium (Brighton),31647,TaylorA.,2,4,False,False,True,4.2,3.75,1.87,12,5,6,,
183,241,Vitality Stadium (Bournemouth),9972,MarrinerA.,0,2,False,False,True,2.9,3.2,2.65,8,2,5,,
184,240,Craven Cottage (London),24344,ScottG.,2,1,True,False,False,1.83,3.85,4.3,5,1,1,,
185,240,Etihad Stadium (Manchester),53444,MadleyA.,1,1,False,True,False,1.16,8.4,17,4,5,7,,
186,240,St. James' Park (Newcastle),52211,HooperS.,0,0,False,True,False,1.46,4.8,6.8,6,3,8,,
187,240,Molineux Stadium (Wolverhampton),31658,JonesR.,0,1,False,False,True,4,3.65,1.93,9,3,4,,
188,240,Anfield (Liverpool),53343,PawsonC.,2,1,True,False,False,1.24,6.8,12,7,7,1,,
189,240,Elland Road (Leeds),36889,AttwellS.,1,3,False,False,True,9.8,6.6,1.27,10,1,6,,
190,240,Old Trafford (Manchester),73608,TaylorA.,3,0,True,False,False,1.35,5.6,8.2,11,3,4,,
191,240,Stamford Bridge (London),40046,HooperS.,2,0,True,False,False,1.35,5.4,8.8,9,3,0,,
192,240,Emirates Stadium (London),60125,OliverM.,3,1,True,False,False,1.56,4.4,5.8,9,3,2,,
193,240,Villa Park (Birmingham),42085,TierneyP.,1,3,False,False,True,4.7,4.1,1.72,15,6,0,,
194,239,Selhurst Park (London),25176,MadleyA.,0,3,False,False,True,2.23,3.55,3.25,11,3,2,,
195,239,Goodison Park (Liverpool),39252,PawsonC.,1,2,False,False,True,2.5,3.25,3,10,3,7,,
196,239,King Power Stadium (Leicester),32185,GillettJ.,0,3,False,False,True,3.5,3.55,2.12,7,4,0,,
197,239,St. Mary's Stadium (Southampton),31010,JonesR.,1,3,False,False,True,3.55,3.5,2.12,8,1,3,,
198,239,Craven Cottage (London),24246,TierneyP.,1,2,False,False,True,4.1,3.85,1.86,16,3,2,,
199,239,Amex Stadium (Brighton),31581,KavanaghC.,1,2,False,False,True,1.75,3.75,4.9,4,4,9,,
200,239,Molineux Stadium (Wolverhampton),34624,AttwellS.,0,2,False,False,True,6,4.2,1.57,6,4,5,,
201,239,St. James' Park (Newcastle),52264,JonesR.,1,0,True,False,False,2.23,3.35,3.4,5,3,6,,
202,239,Vitality Stadium (Bournemouth),10382,PawsonC.,3,0,True,False,False,2.85,3.25,2.65,12,2,2,,
203,239,Anfield (Liverpool),53331,HooperS.,3,1,True,False,False,1.27,6.6,9.8,12,2,2,,
204,238,City Ground (Nottingham),29045,BrooksJ.,1,0,True,False,False,3.35,3.15,2.34,2,3,5,,
205,238,Tottenham Hotspur Stadium (London),61667,SalisburyM.,4,3,True,False,False,1.63,4.3,5,13,1,4,,
206,238,London Stadium (London),62459,GillettJ.,0,2,False,False,True,2.08,3.55,3.6,12,2,4,,
207,238,Tottenham Hotspur Stadium (London),62008,MadleyA.,1,2,False,False,True,3.6,3.85,2.03,11,3,0,,
208,238,Villa Park (Birmingham),42058,TaylorA.,3,1,True,False,False,3.2,3.5,2.26,7,3,6,,
209,238,St. Mary's Stadium (Southampton),30402,AttwellS.,1,4,False,False,True,4.4,3.75,1.84,9,5,1,,
210,238,London Stadium (London),62451,TierneyP.,1,2,False,False,True,1.88,3.6,4.4,8,4,2,,
