,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
1252,Elektron (Veliky Novgorod),3223.0,3552,ChistyakovA.(Rus),Tosno,Ural,04,3,3,2,2,False,True,False,2.22,3.15,3.73,7,4,5
1253,Stadion Arsenal (Tula),20048.0,10250,LevnikovK.(Rus),Arsenal Tula,Ufa,04,3,3,2,1,True,False,False,2.4,2.93,3.61,6,3,4
1254,Gazprom Arena (Saint Petersburg),67800.0,47306,GalimovR.(Rus),Zenit,Krasnodar,04,3,3,1,2,False,False,True,1.88,3.7,4.72,10,5,4
1255,Ak Bars Arena (Kazan),45093.0,3099,MatyuninA.(Rus),Rubin Kazan,Akhmat Grozny,04,3,3,3,2,True,False,False,2.06,3.13,4.34,5,8,6
1256,Stadion Olimp - 2 (Rostov),15840.0,13773,GalimovR.(Rus),FK Rostov,CSKA Moscow,04,3,3,1,2,False,False,True,3.51,3.12,2.33,5,8,4
1257,Krasnodar Stadium (Krasnodar),35179.0,20160,EskovA.(Rus),Krasnodar,FK Anzi Makhackala,04,3,3,1,1,False,True,False,1.46,4.41,7.34,6,4,4
1258,BetBoom Arena (Ufa),15132.0,15132,FedotovI.(Rus),Ufa,Zenit,04,3,3,1,2,False,False,True,4.4,3.19,2.03,9,6,2
1259,SKB-Bank Arena (Yekaterinburg),10000.0,18218,IvanovS.(Rus),Ural,Rubin Kazan,04,3,3,1,1,False,True,False,3.2,2.96,2.6,6,3,6
1260,Otkrytiye Arena (Moscow),45360.0,28517,MeshkovV.(Rus),Spartak Moscow,Tosno,03,3,3,2,1,True,False,False,1.32,4.92,10.0,8,2,3
1261,Arena Khimki (Khimki),18636.0,5374,MoskalevV.(Rus),Dynamo Moscow,Arsenal Tula,03,3,3,2,1,True,False,False,2.36,3.13,3.43,8,6,4
1262,Akhmat-Arena (Groznyj),30597.0,8375,KarasevS.(Rus),Akhmat Grozny,SKA Khabarovsk,03,3,3,0,0,False,True,False,1.22,5.87,16.0,10,4,2
1263,Anzhi Arena (Kaspijsk),26500.0,10200,IvanovS.(Rus),FK Anzi Makhackala,Tosno,03,3,3,2,0,True,False,False,2.28,3.05,3.52,6,3,1
1264,Ak Bars Arena (Kazan),45093.0,14239,BezborodovV.(Rus),Rubin Kazan,Spartak Moscow,03,3,3,1,2,False,False,True,3.24,3.03,2.43,9,2,4
1265,Krasnodar Stadium (Krasnodar),35179.0,20626,MoskalevV.(Rus),Krasnodar,Ufa,03,3,3,0,1,False,False,True,1.51,4.01,7.25,9,5,4
1266,Stadion Arsenal (Tula),20048.0,7760,LapochkinS.(Rus),Arsenal Tula,FK Rostov,03,3,3,2,2,False,True,False,2.7,2.74,3.02,7,2,5
1267,SKB-Bank Arena (Yekaterinburg),10000.0,5500,MoskalevV.(Rus),Ural,Lokomotiv Moscow,03,3,3,0,2,False,False,True,3.85,2.88,2.11,15,5,6
1268,Otkrytiye Arena (Moscow),45360.0,21779,LevnikovK.(Rus),Spartak Moscow,SKA Khabarovsk,03,3,3,1,0,True,False,False,1.1,7.83,19.0,14,2,3
1269,Akhmat-Arena (Groznyj),30597.0,30597,IvanovS.(Rus),Akhmat Grozny,CSKA Moscow,03,3,3,0,3,False,False,True,3.77,2.98,2.09,12,1,3
1270,Stadion Olimp - 2 (Rostov),15840.0,12873,EskovA.(Rus),FK Rostov,Zenit,03,3,3,0,0,False,True,False,3.26,2.75,2.44,6,2,5
1271,Start Stadium (Saransk),11613.0,1310,KarasevS.(Rus),Tosno,Rubin Kazan,03,3,3,0,1,False,False,True,4.37,2.85,2.0,7,2,2
1272,Arena Khimki (Khimki),18636.0,5100,TurbinE.(Rus),Dynamo Moscow,Krasnodar,03,3,3,0,0,False,True,False,3.24,3.11,2.23,4,0,2
1273,BetBoom Arena (Ufa),15132.0,5386,BezborodovV.(Rus),Ufa,FK Anzi Makhackala,03,3,3,3,2,True,False,False,1.97,2.93,4.35,9,5,5
1274,Stadion Arsenal (Tula),20048.0,7080,BezborodovV.(Rus),Arsenal Tula,Akhmat Grozny,03,3,3,1,0,True,False,False,2.47,2.91,3.01,3,7,5
1275,RZD Arena (Moscow),27084.0,21750,VilkovM.(Rus),Lokomotiv Moscow,Spartak Moscow,03,3,3,0,0,False,True,False,2.76,3.2,2.74,7,5,6
1276,BetBoom Arena (Ufa),15132.0,6178,LapochkinS.(Rus),Ufa,Dynamo Moscow,03,3,3,1,1,False,True,False,2.38,2.78,3.33,5,8,2
1277,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,2049,GalimovR.(Rus),SKA Khabarovsk,Tosno,03,3,3,0,1,False,False,True,3.77,3.08,2.04,6,5,7
1278,Krasnodar Stadium (Krasnodar),35179.0,31388,KarasevS.(Rus),Krasnodar,FK Rostov,03,3,3,3,1,True,False,False,1.99,3.09,3.93,6,2,1
1279,Gazprom Arena (Saint Petersburg),67800.0,41543,SeldyakovV.(Rus),Zenit,Amkar,03,3,3,0,0,False,True,False,1.28,4.46,11.0,7,3,12
1280,VEB Arena (Moscow),30457.0,8050,ChistyakovA.(Rus),CSKA Moscow,Ural,03,3,3,1,0,True,False,False,1.26,4.83,10.0,8,3,1
1281,Akhmat-Arena (Groznyj),30597.0,15532,SeldyakovV.(Rus),Akhmat Grozny,Zenit,12,3,3,0,0,False,True,False,4.14,3.18,1.91,5,7,4
1282,Elektron (Veliky Novgorod),3223.0,6108,ChistyakovA.(Rus),Tosno,Lokomotiv Moscow,12,3,3,1,3,False,False,True,4.22,3.13,1.91,8,1,4
1283,Stadion Olimp - 2 (Rostov),15840.0,7834,MoskalevV.(Rus),FK Rostov,Ufa,12,3,3,1,0,True,False,False,1.98,2.88,4.37,7,6,3
1284,Otkrytiye Arena (Moscow),45360.0,44062,NikolaevA.(Rus),Spartak Moscow,CSKA Moscow,12,3,3,3,0,True,False,False,2.7,3.25,2.69,12,3,4
1285,Zvezda Stadium (Perm),17000.0,2684,VilkovM.(Rus),Amkar,Krasnodar,12,3,3,1,3,False,False,True,3.23,2.87,2.37,11,1,2
1286,Ak Bars Arena (Kazan),45093.0,3112,FedotovI.(Rus),Rubin Kazan,SKA Khabarovsk,12,3,3,3,1,True,False,False,1.25,4.76,12.0,9,1,5
1287,Arena Khimki (Khimki),18636.0,3525,LapochkinS.(Rus),Dynamo Moscow,FK Anzi Makhackala,12,3,3,2,0,True,False,False,1.8,3.22,4.67,7,6,0
1288,Anzhi Arena (Kaspijsk),26500.0,3100,EskovA.(Rus),FK Anzi Makhackala,SKA Khabarovsk,12,3,3,4,0,True,False,False,1.61,3.62,5.43,11,3,0
1289,Krasnodar Stadium (Krasnodar),35179.0,34291,IvanovS.(Rus),Krasnodar,Akhmat Grozny,12,3,3,3,2,True,False,False,1.66,3.53,5.13,12,6,10
1290,BetBoom Arena (Ufa),15132.0,5924,SeldyakovV.(Rus),Ufa,Amkar,12,3,3,3,0,True,False,False,2.36,2.59,3.7,6,1,3
1291,RZD Arena (Moscow),27084.0,11551,LapochkinS.(Rus),Lokomotiv Moscow,Rubin Kazan,12,3,3,1,0,True,False,False,2.01,2.89,4.22,2,1,4
1292,Arena Khimki (Khimki),18636.0,3250,MeshkovV.(Rus),Dynamo Moscow,FK Rostov,12,3,3,2,0,True,False,False,3.04,2.65,2.68,7,3,4
1293,Gazprom Arena (Saint Petersburg),67800.0,43921,KarasevS.(Rus),Zenit,Ural,12,3,3,2,1,True,False,False,1.22,5.42,11.0,5,1,7
1294,Stadion Arsenal (Tula),20048.0,14690,BezborodovV.(Rus),Arsenal Tula,Spartak Moscow,12,3,3,0,1,False,False,True,3.53,3.28,2.17,7,1,4
1295,Otkrytiye Arena (Moscow),45360.0,41141,MeshkovV.(Rus),Spartak Moscow,Zenit,11,3,3,3,1,True,False,False,2.68,3.31,2.68,11,5,9
1296,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,4011,GalimovR.(Rus),SKA Khabarovsk,Lokomotiv Moscow,11,3,3,1,2,False,False,True,5.31,3.5,1.65,6,5,4
1297,Stadion Olimp - 2 (Rostov),15840.0,4252,VilkovM.(Rus),FK Rostov,FK Anzi Makhackala,11,3,3,2,0,True,False,False,1.6,3.44,6.04,7,3,4
1298,Ak Bars Arena (Kazan),45093.0,8422,IvanovS.(Rus),Rubin Kazan,CSKA Moscow,11,3,3,0,1,False,False,True,3.24,2.79,2.42,8,3,2
1299,SKB-Bank Arena (Yekaterinburg),10000.0,2938,MoskalevV.(Rus),Ural,Krasnodar,11,3,3,0,1,False,False,True,3.93,3.32,1.91,6,5,1
1300,Akhmat-Arena (Groznyj),30597.0,11318,EskovA.(Rus),Akhmat Grozny,Ufa,11,3,3,2,1,True,False,False,1.82,3.06,4.93,9,10,5
1301,Elektron (Veliky Novgorod),3223.0,3079,NikolaevA.(Rus),Tosno,Arsenal Tula,11,3,3,3,2,True,False,False,2.21,2.91,3.54,11,2,1
1302,Gazprom Arena (Saint Petersburg),67800.0,48031,EskovA.(Rus),Zenit,Tosno,11,3,3,5,0,True,False,False,1.31,4.64,8.41,10,4,3
1303,Stadion Olimp - 2 (Rostov),15840.0,5135,TurbinE.(Rus),FK Rostov,Amkar,11,3,3,0,0,False,True,False,1.73,3.04,5.75,1,4,4
1304,Anzhi Arena (Kaspijsk),26500.0,5495,SuchyA.(Rus),FK Anzi Makhackala,Lokomotiv Moscow,11,3,3,0,1,False,False,True,4.28,3.28,1.85,2,4,0
1305,BetBoom Arena (Ufa),15132.0,6309,KukuyanP.(Rus),Ufa,Ural,11,3,3,2,0,True,False,False,2.16,2.89,3.69,6,5,5
1306,Stadion Arsenal (Tula),20048.0,9668,NikolaevA.(Rus),Arsenal Tula,Rubin Kazan,11,3,3,0,0,False,True,False,3.06,2.81,2.52,2,2,3
1307,Krasnodar Stadium (Krasnodar),35179.0,33979,LapochkinS.(Rus),Krasnodar,Spartak Moscow,11,3,3,1,4,False,False,True,2.31,3.43,3.07,10,2,3
1308,Arena Khimki (Khimki),18636.0,3329,BezborodovV.(Rus),Dynamo Moscow,Akhmat Grozny,11,3,3,1,1,False,True,False,2.64,2.91,2.8,7,3,2
1309,Ak Bars Arena (Kazan),45093.0,11007,GalimovR.(Rus),Rubin Kazan,Zenit,11,3,3,0,0,False,True,False,3.54,2.95,2.18,10,3,6
1310,Otkrytiye Arena (Moscow),45360.0,21445,ChistyakovA.(Rus),Spartak Moscow,Ufa,11,3,3,3,1,True,False,False,1.38,4.27,7.39,6,4,3
1311,RZD Arena (Moscow),27084.0,19015,KarasevS.(Rus),Lokomotiv Moscow,CSKA Moscow,11,3,3,2,2,False,True,False,3.41,2.99,2.37,6,4,6
1312,Zvezda Stadium (Perm),17000.0,4200,MoskalevV.(Rus),Amkar,FK Anzi Makhackala,11,3,3,1,2,False,False,True,1.78,3.08,5.16,9,1,9
1313,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,4155,TurbinE.(Rus),SKA Khabarovsk,Arsenal Tula,11,3,3,1,2,False,False,True,3.12,2.86,2.63,11,7,4
1314,Akhmat-Arena (Groznyj),30597.0,12487,SeldyakovV.(Rus),Akhmat Grozny,FK Rostov,11,3,3,1,0,True,False,False,2.38,2.83,3.27,5,8,5
1315,Elektron (Veliky Novgorod),3223.0,4699,MeshkovV.(Rus),Tosno,Krasnodar,11,3,3,1,3,False,False,True,3.86,3.16,1.98,10,2,2
1316,Akhmat-Arena (Groznyj),30597.0,16372,KarasevS.(Rus),Akhmat Grozny,FK Anzi Makhackala,10,3,3,1,1,False,True,False,1.56,3.8,5.72,5,3,4
1317,BetBoom Arena (Ufa),15132.0,4612,IvanovS.(Rus),Ufa,Rubin Kazan,10,3,3,2,1,True,False,False,3.56,2.7,2.33,7,1,5
1318,Krasnodar Stadium (Krasnodar),35179.0,18537,EskovA.(Rus),Krasnodar,SKA Khabarovsk,10,3,3,4,1,True,False,False,1.15,6.42,16.0,15,3,4
1319,Gazprom Arena (Saint Petersburg),67800.0,45829,MeshkovV.(Rus),Zenit,Lokomotiv Moscow,10,3,3,0,3,False,False,True,1.7,3.51,5.64,14,1,2
1320,Arena Khimki (Khimki),18636.0,3657,SuhojA.(Rus),Dynamo Moscow,Tosno,10,3,3,0,1,False,False,True,2.21,3.0,3.41,9,5,6
1321,Zvezda Stadium (Perm),17000.0,4870,FedotovI.(Rus),Amkar,Ural,10,3,3,1,1,False,True,False,2.16,2.75,3.95,7,2,2
1322,Stadion Olimp - 2 (Rostov),15840.0,9820,GalimovR.(Rus),FK Rostov,Spartak Moscow,10,3,3,2,2,False,True,False,2.87,2.92,2.57,10,3,2
1323,RZD Arena (Moscow),27084.0,12532,LapochkinS.(Rus),Lokomotiv Moscow,Krasnodar,10,3,3,2,0,True,False,False,2.53,3.13,2.98,4,2,1
1324,Anzhi Arena (Kaspijsk),26500.0,30000,BezborodovV.(Rus),FK Anzi Makhackala,Arsenal Tula,10,3,3,3,2,True,False,False,2.5,2.92,2.96,12,7,3
1325,VEB Arena (Moscow),30457.0,26137,KuznetsovS.(Rus),CSKA Moscow,Zenit,10,3,3,0,0,False,True,False,2.8,3.1,2.49,6,4,10
1326,SKB-Bank Arena (Yekaterinburg),10000.0,2386,NikolaevA.(Rus),Ural,Akhmat Grozny,10,3,3,2,0,True,False,False,2.99,3.03,2.41,7,2,6
1327,Otkrytiye Arena (Moscow),45360.0,25754,KukuyanP.(Rus),Spartak Moscow,Amkar,10,3,3,0,0,False,True,False,1.39,4.08,7.69,4,0,2
1328,Ak Bars Arena (Kazan),45093.0,5878,LevnikovK.(Rus),Rubin Kazan,Dynamo Moscow,10,3,3,0,0,False,True,False,1.84,3.15,4.59,10,4,2
1329,Elektron (Veliky Novgorod),3223.0,4820,MoskalevV.(Rus),Tosno,FK Rostov,10,3,3,1,1,False,True,False,3.18,2.79,2.45,6,7,4
1330,Zvezda Stadium (Perm),17000.0,3456,MatyuninA.(Rus),Amkar,Tosno,10,3,3,0,0,False,True,False,2.26,2.74,3.68,5,2,7
1331,Gazprom Arena (Saint Petersburg),67800.0,45746,ChistyakovA.(Rus),Zenit,Arsenal Tula,10,3,3,0,1,False,False,True,1.23,5.3,11.0,4,8,4
1332,Stadion Olimp - 2 (Rostov),15840.0,8683,EskovA.(Rus),FK Rostov,Rubin Kazan,10,3,3,0,1,False,False,True,2.35,2.74,3.44,4,6,5
1333,BetBoom Arena (Ufa),15132.0,6123,SukhoyVasilievichA.(Rus),Ufa,Lokomotiv Moscow,10,3,3,1,0,True,False,False,3.55,2.81,2.26,7,4,3
1334,Krasnodar Stadium (Krasnodar),35179.0,32579,MeshkovV.(Rus),Krasnodar,CSKA Moscow,10,3,3,0,1,False,False,True,2.09,3.21,3.45,6,0,3
1335,SKB-Bank Arena (Yekaterinburg),10000.0,3609,GalimovR.(Rus),Ural,FK Anzi Makhackala,10,3,3,2,1,True,False,False,1.97,3.2,3.86,6,2,7
1336,Arena Khimki (Khimki),18636.0,3632,IvanovS.(Rus),Dynamo Moscow,SKA Khabarovsk,10,3,3,2,0,True,False,False,1.34,4.23,8.72,9,3,0
1337,Anzhi Arena (Kaspijsk),26500.0,5150,MatyuninA.(Rus),FK Anzi Makhackala,Zenit,10,3,3,2,2,False,True,False,7.19,4.23,1.39,7,2,6
1338,RZD Arena (Moscow),27084.0,12007,KarasevS.(Rus),Lokomotiv Moscow,Dynamo Moscow,10,3,3,3,0,True,False,False,1.74,3.32,4.88,14,4,1
1339,VEB Arena (Moscow),30457.0,10127,LapochkinS.(Rus),CSKA Moscow,Ufa,10,3,3,0,0,False,True,False,1.28,4.75,9.64,7,4,0
1340,Otkrytiye Arena (Moscow),45360.0,21089,BezborodovV.(Rus),Spartak Moscow,Ural,09,3,3,2,0,True,False,False,1.44,4.28,5.98,11,2,4
1341,Ak Bars Arena (Kazan),45093.0,5614,VilkovM.(Rus),Rubin Kazan,Amkar,09,3,3,0,1,False,False,True,1.73,3.13,5.43,6,3,5
1342,Elektron (Veliky Novgorod),3223.0,4757,NikolaevA.(Rus),Tosno,Akhmat Grozny,09,3,3,1,0,True,False,False,2.93,2.95,2.5,9,2,8
1343,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,6535,FedotovI.(Rus),SKA Khabarovsk,FK Rostov,09,3,3,2,1,True,False,False,5.7,3.17,1.7,10,7,6
1344,Akhmat-Arena (Groznyj),30597.0,8345,SukhoyVasilievichA.(Rus),Akhmat Grozny,Rubin Kazan,09,3,3,1,0,True,False,False,2.48,2.99,2.92,4,5,3
1345,Zvezda Stadium (Perm),17000.0,3890,MoskalevV.(Rus),Amkar,SKA Khabarovsk,09,3,3,3,0,True,False,False,1.6,3.25,6.77,11,3,2
1346,Krasnodar Stadium (Krasnodar),35179.0,33979,VilkovM.(Rus),Krasnodar,Zenit,09,3,3,0,2,False,False,True,2.52,3.15,2.73,10,5,2
1347,Stadion Olimp - 2 (Rostov),15840.0,12198,GalimovR.(Rus),FK Rostov,Lokomotiv Moscow,09,3,3,0,1,False,False,True,2.26,2.8,3.55,7,4,3
1348,BetBoom Arena (Ufa),15132.0,3827,BezborodovV.(Rus),Ufa,Arsenal Tula,09,3,3,1,0,True,False,False,2.24,2.87,3.5,9,3,5
1349,SKB-Bank Arena (Yekaterinburg),10000.0,2591,TurbinE.(Rus),Ural,Tosno,09,3,3,3,1,True,False,False,2.31,3.03,3.16,9,3,8
1350,Otkrytiye Arena (Moscow),45360.0,25075,MeshkovV.(Rus),Spartak Moscow,FK Anzi Makhackala,09,3,3,2,2,False,True,False,1.28,5.06,8.59,7,10,2
1351,Gazprom Arena (Saint Petersburg),67800.0,30158,GalimovR.(Rus),Zenit,Ufa,09,3,3,3,0,True,False,False,1.23,5.13,11.0,13,0,2
1352,RZD Arena (Moscow),27084.0,9860,LevnikovK.(Rus),Lokomotiv Moscow,Amkar,09,3,3,0,1,False,False,True,1.52,3.54,7.18,11,3,3
1353,Ak Bars Arena (Kazan),45093.0,8325,KarasevS.(Rus),Rubin Kazan,Ural,09,3,3,0,1,False,False,True,1.57,3.63,6.01,11,3,3
1354,Elektron (Veliky Novgorod),3223.0,13665,SeldyakovV.(Rus),Tosno,Spartak Moscow,09,3,3,2,2,False,True,False,4.19,3.44,1.82,12,4,4
1355,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,7447,EskovA.(Rus),SKA Khabarovsk,Akhmat Grozny,09,3,3,2,2,False,True,False,4.56,3.1,1.86,17,8,4
1356,Anzhi Arena (Kaspijsk),26500.0,4550,TurbinE.(Rus),FK Anzi Makhackala,Krasnodar,09,3,3,1,5,False,False,True,4.97,3.69,1.73,13,2,1
1357,VEB Arena (Moscow),30457.0,15144,MoskalevV.(Rus),CSKA Moscow,FK Rostov,09,3,3,2,0,True,False,False,1.67,3.56,5.95,8,4,3
1358,SKB-Bank Arena (Yekaterinburg),10000.0,2602,LevnikovK.(Rus),Ural,SKA Khabarovsk,09,3,3,1,1,False,True,False,1.6,3.68,6.59,9,5,4
1359,Akhmat-Arena (Groznyj),30597.0,16570,BezborodovV.(Rus),Akhmat Grozny,Lokomotiv Moscow,09,3,3,1,1,False,True,False,2.63,3.04,2.93,4,3,3
1360,BetBoom Arena (Ufa),15132.0,5158,KarasevS.(Rus),Ufa,Krasnodar,09,3,3,0,1,False,False,True,3.81,3.18,2.12,8,5,2
1361,Arena Khimki (Khimki),18636.0,11518,SuhojA.(Rus),Dynamo Moscow,Zenit,09,3,3,0,0,False,True,False,5.25,3.67,1.7,4,3,4
1362,Otkrytiye Arena (Moscow),45360.0,28781,LapochkinS.(Rus),Spartak Moscow,Rubin Kazan,09,3,3,1,0,True,False,False,1.67,3.61,4.9,4,4,5
1363,Stadion Olimp - 2 (Rostov),15840.0,10856,NikolaevA.(Rus),FK Rostov,Arsenal Tula,09,3,3,2,2,False,True,False,1.45,3.64,7.7,7,5,3
1364,Elektron (Veliky Novgorod),3223.0,21107,KulbakovA.(Blr),Tosno,FK Anzi Makhackala,09,3,3,2,2,False,True,False,1.95,3.15,4.0,14,5,1
1365,Krasnodar Stadium (Krasnodar),35179.0,23877,LevnikovK.(Rus),Krasnodar,Dynamo Moscow,08,3,3,2,0,True,False,False,1.64,3.66,5.06,14,5,5
1366,Gazprom Arena (Saint Petersburg),67800.0,50404,SeldyakovV.(Rus),Zenit,FK Rostov,08,3,3,0,0,False,True,False,1.6,3.49,5.34,4,6,1
1367,VEB Arena (Moscow),30457.0,16400,VilkovM.(Rus),CSKA Moscow,Akhmat Grozny,08,3,3,0,1,False,False,True,1.33,4.37,8.21,15,3,3
1368,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,14524,GalimovR.(Rus),SKA Khabarovsk,Spartak Moscow,08,3,3,0,0,False,True,False,6.68,3.92,1.45,13,2,6
1369,RZD Arena (Moscow),27084.0,11477,MoskalevV.(Rus),Lokomotiv Moscow,Ural,08,3,3,2,1,True,False,False,1.47,3.93,6.98,11,3,0
1370,Ak Bars Arena (Kazan),45093.0,10136,ChistyakovA.(Rus),Rubin Kazan,Tosno,08,3,3,1,0,True,False,False,1.61,3.49,5.74,2,9,5
1371,Stadion Arsenal (Tula),20048.0,10870,TurbinE.(Rus),Arsenal Tula,Amkar,08,3,3,0,1,False,False,True,2.34,2.79,3.41,6,2,3
1372,Akhmat-Arena (Groznyj),30597.0,17134,MoskalevV.(Rus),Akhmat Grozny,Arsenal Tula,08,3,3,1,2,False,False,True,1.5,3.64,6.48,7,3,3
1373,Stadion Olimp - 2 (Rostov),15840.0,12328,VilkovM.(Rus),FK Rostov,Krasnodar,08,3,3,0,0,False,True,False,2.22,2.97,3.4,12,1,2
1374,Arena Khimki (Khimki),18636.0,6179,BezborodovV.(Rus),Dynamo Moscow,Ufa,08,3,3,1,1,False,True,False,1.75,3.22,5.02,8,3,3
1375,Zvezda Stadium (Perm),17000.0,11345,MatyuninA.(Rus),Amkar,Zenit,08,3,3,0,1,False,False,True,5.39,3.39,1.67,6,4,3
1376,Ak Bars Arena (Kazan),45093.0,11252,KarasevS.(Rus),Rubin Kazan,FK Anzi Makhackala,08,3,3,6,0,True,False,False,1.56,3.58,6.3,7,3,2
1377,Otkrytiye Arena (Moscow),45360.0,33027,EskovA.(Rus),Spartak Moscow,Lokomotiv Moscow,08,3,3,3,4,False,False,True,1.79,3.34,4.5,15,4,5
1378,SKB-Bank Arena (Yekaterinburg),10000.0,8964,LapochkinS.(Rus),Ural,CSKA Moscow,08,3,3,0,0,False,True,False,5.11,3.5,1.67,8,5,3
1379,Stadion Arsenal (Tula),20048.0,10050,SukhoyVasilievichA.(Rus),Arsenal Tula,Ural,08,3,3,2,2,False,True,False,2.32,2.88,3.32,7,2,5
1380,Krasnodar Stadium (Krasnodar),35179.0,17367,GalimovR.(Rus),Krasnodar,Amkar,08,3,3,1,1,False,True,False,1.44,3.96,7.39,7,4,2
1381,Gazprom Arena (Saint Petersburg),67800.0,45470,FedotovI.(Rus),Zenit,Akhmat Grozny,08,3,3,4,0,True,False,False,1.45,4.09,6.82,9,3,7
1382,RZD Arena (Moscow),27084.0,11230,KulikovS.(Rus),Lokomotiv Moscow,Tosno,08,3,3,0,2,False,False,True,1.36,4.23,9.26,9,3,5
1383,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,11230,NikolaevA.(Rus),SKA Khabarovsk,Rubin Kazan,08,3,3,1,1,False,True,False,3.84,3.0,2.06,8,7,3
1384,Anzhi Arena (Kaspijsk),26500.0,5339,VilkovM.(Rus),FK Anzi Makhackala,Dynamo Moscow,08,3,3,1,3,False,False,True,2.79,2.84,2.7,6,5,3
1385,VEB Arena (Moscow),30457.0,24000,SeldyakovV.(Rus),CSKA Moscow,Spartak Moscow,08,3,3,2,1,True,False,False,2.02,3.52,3.7,12,5,6
1386,Akhmat-Arena (Groznyj),30597.0,8100,IvanovS.(Rus),Akhmat Grozny,Krasnodar,08,3,3,2,3,False,False,True,2.65,2.96,2.75,15,1,4
1387,Stadion Olimp - 2 (Rostov),15840.0,10215,LapochkinS.(Rus),FK Rostov,Dynamo Moscow,08,3,3,1,0,True,False,False,1.92,3.05,4.31,7,4,7
1388,Ak Bars Arena (Kazan),45093.0,14095,SuchyA.(Rus),Rubin Kazan,Lokomotiv Moscow,08,3,3,1,1,False,True,False,2.51,2.89,2.98,6,0,8
1389,Elektron (Veliky Novgorod),3223.0,6350,MoskalevV.(Rus),Tosno,CSKA Moscow,08,3,3,1,2,False,False,True,5.85,3.81,1.55,9,6,1
1390,Otkrytiye Arena (Moscow),45360.0,26183,KulikovS.(Rus),Spartak Moscow,Arsenal Tula,08,3,3,2,0,True,False,False,1.32,4.74,9.23,8,5,5
1391,SKB-Bank Arena (Yekaterinburg),10000.0,8965,GalimovR.(Rus),Ural,Zenit,08,3,3,1,1,False,True,False,6.23,3.72,1.54,12,3,2
1392,Zvezda Stadium (Perm),17000.0,4900,FedotovI.(Rus),Amkar,Ufa,08,3,3,0,0,False,True,False,2.54,2.68,3.2,1,0,4
1393,Krasnodar Stadium (Krasnodar),35179.0,18676,NikolaevA.(Rus),Krasnodar,Ural,08,3,3,1,1,False,True,False,1.37,4.32,8.39,12,2,1
1394,Gazprom Arena (Saint Petersburg),67800.0,53359,VilkovM.(Rus),Zenit,Spartak Moscow,08,3,3,5,1,True,False,False,2.02,3.5,3.71,8,3,6
1395,VEB Arena (Moscow),30457.0,11165,BezborodovV.(Rus),CSKA Moscow,Rubin Kazan,08,3,3,1,2,False,False,True,1.48,3.89,6.71,9,1,5
1396,Stadion Arsenal (Tula),20048.0,11150,IvanovS.(Rus),Arsenal Tula,Tosno,08,3,3,1,2,False,False,True,2.13,2.95,3.67,8,2,1
1397,RZD Arena (Moscow),27084.0,8160,LapochkinS.(Rus),Lokomotiv Moscow,SKA Khabarovsk,08,3,3,1,0,True,False,False,1.26,4.87,12.0,7,3,2
1398,Arena Khimki (Khimki),18636.0,5423,TurbinE.(Rus),Dynamo Moscow,Amkar,08,3,3,3,0,True,False,False,1.71,3.28,5.28,8,3,3
1399,BetBoom Arena (Ufa),15132.0,5102,LyubimovA.(Rus),Ufa,Akhmat Grozny,08,3,3,3,2,True,False,False,2.87,2.68,2.8,6,4,4
1400,Otkrytiye Arena (Moscow),45360.0,34208,LapochkinS.(Rus),Spartak Moscow,Krasnodar,07,3,3,2,0,True,False,False,1.69,3.88,5.02,11,4,1
1401,Elektron (Veliky Novgorod),3223.0,12555,SuhojA.(Rus),Tosno,Zenit,07,3,3,0,1,False,False,True,15.0,5.72,1.19,5,5,4
1402,RZD Arena (Moscow),27084.0,7603,GalimovR.(Rus),Lokomotiv Moscow,FK Anzi Makhackala,07,3,3,1,0,True,False,False,1.54,3.64,6.48,6,3,4
1403,Zvezda Stadium (Perm),17000.0,4900,NikolaevA.(Rus),Amkar,FK Rostov,07,3,3,0,1,False,False,True,2.77,2.58,3.01,7,8,2
1404,Akhmat-Arena (Groznyj),30597.0,17324,BezborodovV.(Rus),Akhmat Grozny,Dynamo Moscow,07,3,3,2,0,True,False,False,2.06,3.01,3.81,8,7,4
1405,Ak Bars Arena (Kazan),45093.0,7220,MoskalevV.(Rus),Rubin Kazan,Arsenal Tula,07,3,3,2,1,True,False,False,1.64,3.38,5.71,6,2,4
1406,VEB Arena (Moscow),30457.0,8500,LevnikovK.(Rus),CSKA Moscow,SKA Khabarovsk,07,3,3,2,0,True,False,False,1.18,6.84,12.0,9,6,2
1407,Stadion Arsenal (Tula),20048.0,12700,TurbinE.(Rus),Arsenal Tula,SKA Khabarovsk,07,3,3,1,0,True,False,False,1.67,3.24,5.8,6,5,4
1408,Stadion Olimp - 2 (Rostov),15840.0,10305,GalimovR.(Rus),FK Rostov,Akhmat Grozny,07,3,3,0,1,False,False,True,2.38,2.88,3.19,5,7,5
