,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
10,Rostov Arena (Rostov),43472.0,9717,MeshkovV.(Rus),FK Rostov,Akhmat Grozny,05,3,3,3,2,True,False,False,2.7,3.4,2.65,12,6,13
11,VTB Arena (Moscow),26121.0,15490,SafyanR.(Rus),Dynamo Moscow,Lokomotiv Moscow,05,3,3,2,4,False,False,True,1.95,4.1,3.5,14,4,6
12,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,13070,BezborodovV.(Rus),Fakel Voronezh,Krylya Sovetov,05,3,3,2,1,True,False,False,3.0,3.15,2.6,3,1,4
13,Otkrytiye Arena (Moscow),45360.0,10145,LyubimovA.(Rus),Spartak Moscow,Pari NN,05,3,3,0,0,False,True,False,1.63,4.1,5.4,6,2,3
14,Krasnodar Stadium (Krasnodar),35179.0,23750,LevnikovK.(Rus),Krasnodar,CSKA Moscow,05,3,3,0,0,False,True,False,4.2,4.0,1.83,7,1,2
15,Fisht Olympic Stadium (Sochi),47659.0,5049,ShafeevR.(Rus),Sochi,Zenit,05,3,3,1,1,False,True,False,2.95,3.35,2.46,9,4,2
16,Stadion Eduarda Strelcova (Moscow),13450.0,982,BobrovskiyY.(Rus),Torpedo Moscow,Orenburg,05,3,3,1,3,False,False,True,3.6,4.4,1.88,10,3,4
17,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,5267,LevnikovK.(Rus),Pari NN,Sochi,05,3,3,4,0,True,False,False,3.05,3.1,2.55,7,3,5
18,Krasnodar Stadium (Krasnodar),35179.0,17069,LyubimovA.(Rus),Krasnodar,FK Rostov,05,3,3,3,0,True,False,False,1.77,4.0,4.4,7,5,1
19,Otkrytiye Arena (Moscow),45360.0,24679,KarasevS.(Rus),Spartak Moscow,CSKA Moscow,05,3,3,2,1,True,False,False,2.9,3.5,2.5,13,3,3
20,Samara Arena (Samara),44918.0,4886,MeshkovV.(Rus),Krylya Sovetov,Ural,05,3,3,3,0,True,False,False,2.18,3.3,3.55,9,0,1
21,Akhmat-Arena (Groznyj),30597.0,5154,BezborodovV.(Rus),Akhmat Grozny,Khimki,05,3,3,3,0,True,False,False,1.65,4.3,5.0,9,4,8
22,Gazovik Stadium (Orenburg),4800.0,5653,SukhoyVasilievichA.(Rus),Orenburg,Zenit,05,3,3,2,2,False,True,False,3.75,4.5,1.82,6,3,5
23,Luzhniki Arena (Moscow),8300.0,1837,KazartsevV.(Rus),Torpedo Moscow,Dynamo Moscow,05,3,3,0,3,False,False,True,8.4,5.8,1.34,10,5,4
24,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,12252,IvanovS.(Rus),Fakel Voronezh,Pari NN,05,3,3,1,0,True,False,False,2.1,3.2,4.0,2,2,9
25,Fisht Olympic Stadium (Sochi),47659.0,2787,BobrovskiyY.(Rus),Sochi,FK Rostov,05,3,3,1,0,True,False,False,2.08,3.6,3.55,15,6,1
26,VTB Arena (Moscow),26121.0,7091,MoskalevV.(Rus),Dynamo Moscow,Akhmat Grozny,05,3,3,0,3,False,False,True,1.78,4.0,4.3,8,3,3
27,Samara Arena (Samara),44918.0,6155,LyubimovA.(Rus),Krylya Sovetov,Lokomotiv Moscow,05,3,3,1,1,False,True,False,2.13,3.8,3.25,6,2,6
28,VEB Arena (Moscow),30457.0,4406,MeshkovV.(Rus),CSKA Moscow,Torpedo Moscow,05,3,3,3,0,True,False,False,1.17,8.0,16.0,8,3,3
29,Gazprom Arena (Saint Petersburg),67800.0,25508,SafyanR.(Rus),Zenit,Krasnodar,05,3,3,2,2,False,True,False,1.32,6.0,9.4,7,2,4
30,Arena Khimki (Khimki),18636.0,3019,KukulyakE.(Rus),Khimki,Spartak Moscow,05,3,3,1,1,False,True,False,7.8,5.6,1.36,14,4,12
31,RZD Arena (Moscow),27084.0,5192,SukhoyVasilievichA.(Rus),Lokomotiv Moscow,Sochi,05,3,3,3,0,True,False,False,2.0,3.65,3.75,12,4,4
32,Krasnodar Stadium (Krasnodar),35179.0,9874,AmelinA.(Rus),Krasnodar,Krylya Sovetov,05,3,3,2,1,True,False,False,2.35,3.4,3.1,8,2,5
33,Gazprom Arena (Saint Petersburg),67800.0,44704,KukuyanP.(Rus),Zenit,Spartak Moscow,05,3,3,3,2,True,False,False,1.49,4.9,6.4,7,0,5
34,VEB Arena (Moscow),30457.0,3961,MoskalevV.(Rus),CSKA Moscow,Orenburg,05,3,3,2,1,True,False,False,1.5,5.0,5.8,9,2,5
35,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,4490,BezborodovV.(Rus),Pari NN,Ural,05,3,3,0,0,False,True,False,3.05,3.0,2.65,3,3,3
36,Rostov Arena (Rostov),43472.0,11010,KukulyakE.(Rus),FK Rostov,Fakel Voronezh,05,3,3,0,2,False,False,True,1.72,3.9,4.9,5,3,3
37,Luzhniki Arena (Moscow),8300.0,647,TurbinE.(Rus),Torpedo Moscow,Akhmat Grozny,05,3,3,1,5,False,False,True,3.4,3.6,2.14,11,3,5
38,RZD Arena (Moscow),27084.0,3720,BezborodovV.(Rus),Lokomotiv Moscow,Khimki,04,3,3,5,1,True,False,False,1.43,5.2,6.6,14,1,5
39,Fisht Olympic Stadium (Sochi),47659.0,1831,ChistyakovA.(Rus),Sochi,Torpedo Moscow,04,3,3,3,1,True,False,False,1.51,4.6,6.2,6,3,0
40,Gazovik Stadium (Orenburg),4800.0,3349,TurbinE.(Rus),Orenburg,Pari NN,04,3,3,1,0,True,False,False,1.74,4.1,4.6,9,7,3
41,Otkrytiye Arena (Moscow),45360.0,10568,LevnikovK.(Rus),Spartak Moscow,FK Rostov,04,3,3,1,1,False,True,False,1.79,4.1,4.2,9,4,7
42,Krasnodar Stadium (Krasnodar),35179.0,10051,KarasevS.(Rus),Krasnodar,Ural,04,3,3,1,1,False,True,False,1.91,3.75,4.0,5,3,4
43,Akhmat-Arena (Groznyj),30597.0,4527,AmelinA.(Rus),Akhmat Grozny,CSKA Moscow,04,3,3,1,3,False,False,True,3.45,3.55,2.14,7,4,2
44,Samara Arena (Samara),44918.0,9612,IvanovS.(Rus),Krylya Sovetov,Zenit,04,3,3,1,5,False,False,True,4.6,3.65,1.83,15,1,5
45,Otkrytiye Arena (Moscow),45360.0,6083,BezborodovV.(Rus),Spartak Moscow,Krasnodar,04,3,3,4,3,True,False,False,2.25,3.65,3.2,13,4,6
46,VEB Arena (Moscow),30457.0,8315,KarasevS.(Rus),CSKA Moscow,Lokomotiv Moscow,04,3,3,1,1,False,True,False,1.85,3.85,4.3,12,4,10
47,Akhmat-Arena (Groznyj),30597.0,4431,FedorovA.(Rus),Akhmat Grozny,Sochi,04,3,3,1,0,True,False,False,2.48,3.45,2.9,8,5,2
48,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,5485,GalimovR.(Rus),Pari NN,Krylya Sovetov,04,3,3,2,1,True,False,False,3.25,3.2,2.39,6,2,6
49,Yekaterinburg Arena (Yekaterinburg),25000.0,5561,KukuyanP.(Rus),Ural,FK Rostov,04,3,3,1,3,False,False,True,2.42,3.25,3.15,10,1,6
50,Gazprom Arena (Saint Petersburg),67800.0,27724,MeshkovV.(Rus),Zenit,Dynamo Moscow,04,3,3,3,1,True,False,False,1.4,5.2,7.6,11,5,1
51,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,9051,ShafeevR.(Rus),Fakel Voronezh,Orenburg,04,3,3,1,3,False,False,True,2.39,3.7,2.85,9,2,5
52,Rostov Arena (Rostov),43472.0,13711,KarasevS.(Rus),FK Rostov,Zenit,04,3,3,0,0,False,True,False,5.8,4.1,1.59,5,3,4
53,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,8885,GalimovR.(Rus),Fakel Voronezh,Akhmat Grozny,04,3,3,1,1,False,True,False,2.48,3.3,3.0,6,5,7
54,Gazovik Stadium (Orenburg),4800.0,3795,KazartsevV.(Rus),Orenburg,Lokomotiv Moscow,04,3,3,1,4,False,False,True,2.37,3.8,2.8,7,3,8
55,Stadion Eduarda Strelcova (Moscow),13450.0,4154,ShadyhanovP.(Rus),Torpedo Moscow,Spartak Moscow,04,3,3,1,2,False,False,True,16.0,5.2,1.28,13,4,6
56,Fisht Olympic Stadium (Sochi),47659.0,3129,MeshkovV.(Rus),Sochi,Krasnodar,04,3,3,0,2,False,False,True,2.5,3.7,2.7,13,3,3
57,Yekaterinburg Arena (Yekaterinburg),25000.0,9026,BezborodovV.(Rus),Ural,CSKA Moscow,04,3,3,1,2,False,False,True,3.4,3.15,2.35,8,1,2
58,VTB Arena (Moscow),26121.0,4519,ChistyakovA.(Rus),Dynamo Moscow,Pari NN,04,3,3,3,1,True,False,False,1.46,4.6,7.4,9,2,4
59,Gazovik Stadium (Orenburg),4800.0,4581,SafyanR.(Rus),Orenburg,FK Rostov,04,3,3,2,2,False,True,False,2.11,3.65,3.45,13,6,11
60,RZD Arena (Moscow),27084.0,10859,KukuyanP.(Rus),Lokomotiv Moscow,Zenit,04,3,3,1,2,False,False,True,4.9,4.1,1.72,6,2,2
61,Krasnodar Stadium (Krasnodar),35179.0,10677,ChebanS.(Rus),Krasnodar,Pari NN,04,3,3,3,1,True,False,False,1.58,4.0,6.2,9,6,5
62,VEB Arena (Moscow),30457.0,3970,GalimovR.(Rus),CSKA Moscow,Khimki,04,3,3,3,0,True,False,False,1.22,7.0,13.0,9,3,2
63,Fisht Olympic Stadium (Sochi),47659.0,2386,LevnikovK.(Rus),Sochi,Krylya Sovetov,04,3,3,1,2,False,False,True,2.38,3.3,3.15,7,3,2
64,Otkrytiye Arena (Moscow),45360.0,8985,IvanovS.(Rus),Spartak Moscow,Dynamo Moscow,04,3,3,3,3,False,True,False,2.24,3.5,3.25,11,2,6
65,Akhmat-Arena (Groznyj),30597.0,3965,ShadyhanovP.(Rus),Akhmat Grozny,Ural,04,3,3,2,0,True,False,False,2.34,3.4,3.15,6,3,4
66,Rostov Arena (Rostov),43472.0,6300,AmelinA.(Rus),FK Rostov,Torpedo Moscow,04,3,3,2,1,True,False,False,1.46,4.6,7.4,11,4,2
67,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,13029,KukuyanP.(Rus),Fakel Voronezh,CSKA Moscow,04,3,3,0,2,False,False,True,4.5,3.7,1.83,8,2,2
68,Arena Khimki (Khimki),18636.0,1129,ShadyhanovP.(Rus),Khimki,Krasnodar,04,3,3,0,6,False,False,True,4.4,3.85,1.81,14,4,2
69,Samara Arena (Samara),44918.0,3840,IvanovS.(Rus),Krylya Sovetov,Orenburg,04,3,3,1,1,False,True,False,2.0,3.75,3.65,8,5,3
70,Gazprom Arena (Saint Petersburg),67800.0,23966,ChistyakovA.(Rus),Zenit,Ural,04,3,3,2,0,True,False,False,1.34,5.4,9.0,7,4,2
71,Otkrytiye Arena (Moscow),45360.0,5849,SukhoyVasilievichA.(Rus),Spartak Moscow,Akhmat Grozny,04,3,3,0,0,False,True,False,1.55,4.6,5.6,7,0,5
72,VTB Arena (Moscow),26121.0,5109,GalimovR.(Rus),Dynamo Moscow,Sochi,04,3,3,0,2,False,False,True,2.05,3.7,3.55,8,5,3
73,VEB Arena (Moscow),30457.0,9974,KarasevS.(Rus),CSKA Moscow,Zenit,03,3,3,1,0,True,False,False,3.4,3.15,2.38,8,5,2
74,Samara Arena (Samara),44918.0,2324,ShafeevR.(Rus),Krylya Sovetov,Akhmat Grozny,03,3,3,0,1,False,False,True,2.01,3.6,3.75,11,3,7
75,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,3305,TurbinE.(Rus),Pari NN,Torpedo Moscow,03,3,3,0,3,False,False,True,1.9,3.35,4.7,13,4,1
76,Arena Khimki (Khimki),18636.0,696,MoskalevV.(Rus),Khimki,FK Rostov,03,3,3,0,1,False,False,True,3.5,3.45,2.15,8,8,2
